frame_index,timestamp,ok,tx,ty,tz,rx,ry,rz,num_markers
73,2025-12-14T22:31:17.043945,True,-0.569346,-0.441284,3.028283,-0.921305,-0.288027,0.596771,5
74,2025-12-14T22:31:17.143364,True,-0.565844,-0.436675,2.999954,-0.929529,0.051605,0.685391,5
75,2025-12-14T22:31:17.242959,True,-0.571943,-0.435122,3.013167,-0.606201,0.401548,0.084124,3
76,2025-12-14T22:31:17.345322,True,-0.578416,-0.438358,3.013489,-0.907275,-0.322260,0.588465,6
77,2025-12-14T22:31:17.444115,True,-0.569190,-0.438018,2.979687,-1.133816,-0.804024,0.686872,5
78,2025-12-14T22:31:17.543711,True,-0.564263,-0.431441,2.963813,-0.825863,-0.793044,0.335781,7
79,2025-12-14T22:31:17.643384,True,-0.564006,-0.430872,2.959638,-0.822809,-0.771286,0.387895,6
80,2025-12-14T22:31:17.743346,True,-0.566115,-0.426194,2.948177,-0.511231,-0.279780,0.437073,7
81,2025-12-14T22:31:17.844321,True,-0.569296,-0.427247,2.956197,-0.690550,-0.447212,0.381357,7
82,2025-12-14T22:31:17.943223,True,-0.571287,-0.427570,2.959280,-0.762518,-0.443623,0.405533,7
83,2025-12-14T22:31:18.042790,True,-0.575198,-0.440073,2.985535,-0.821932,-0.795187,0.265544,4
84,2025-12-14T22:31:18.144012,True,-0.575198,-0.440073,2.985535,-0.821932,-0.795187,0.265544,4
85,2025-12-14T22:31:18.244232,True,-0.593964,-0.442774,3.016641,-1.014432,-0.340970,0.237231,3
86,2025-12-14T22:31:18.345997,True,-0.593825,-0.446595,3.032626,-0.987964,-1.206122,0.364828,4
87,2025-12-14T22:31:18.442559,True,-0.592261,-0.442708,3.015053,-1.106182,-0.529731,0.904853,4
88,2025-12-14T22:31:18.542080,True,-0.602831,-0.440802,2.994136,-0.923554,-0.611672,-0.029117,3
89,2025-12-14T22:31:18.641615,True,-0.602912,-0.444808,3.021038,-1.011131,-0.945488,0.684560,4
90,2025-12-14T22:31:18.741805,True,-0.602004,-0.437054,2.993045,-0.684025,0.346508,-0.232436,2
91,2025-12-14T22:31:18.843466,True,-0.602591,-0.441559,3.012352,-0.865432,-1.231558,0.461333,3
92,2025-12-14T22:31:18.943019,True,-0.613790,-0.443304,3.027740,-1.064617,-0.733247,0.981905,5
93,2025-12-14T22:31:19.042103,True,-0.608477,-0.426502,2.972363,-0.825318,-0.840252,0.175258,7
94,2025-12-14T22:31:19.141894,True,-0.609548,-0.426747,2.973940,-0.822790,-0.799357,0.243173,7
95,2025-12-14T22:31:19.241618,True,-0.607462,-0.426593,2.959435,-0.750135,-1.089183,0.165215,6
96,2025-12-14T22:31:19.342603,True,-0.607462,-0.426593,2.959435,-0.750135,-1.089183,0.165215,6
97,2025-12-14T22:31:19.442457,True,-0.622751,-0.444556,3.027999,-0.995984,-1.071199,0.718526,4
98,2025-12-14T22:31:19.543856,True,-0.633500,-0.445141,3.025859,-0.849702,0.227754,0.158956,3
